"LabID","Pol"
13124,-0.258980068628167
11406,-0.264583485434767
58532,-0.270807476089655
52625,-0.256516025407024
20176,-0.2668102504198
4055,-0.262922537781996
61381,-0.255201869022414
20917,-0.257100094911294
19242,-0.268964006716799
3913,-0.269329050156969
21641,-0.27193911075418
63022,-0.255621668978609
31926,-0.271190771701833
1632,-0.256187486310871
49803,-0.263889902898445
4885,-0.250821347740381
43235,-0.245856756954078
53500,-0.231017741111192
23289,-0.242808644228663
10222,-0.235416514565233
11025,-0.23295247134409
50153,-0.230159889026794
54355,-0.237752792582317
60947,-0.235945827553479
43535,-0.246878878586552
54564,-0.245765496094035
41261,-0.23032415857487
34118,-0.242571365992553
10829,-0.236274366649631
41982,-0.239760531503249
33051,-0.238866175074834
36979,-0.240873913995766
31056,-0.244980652697671
58948,-0.226235672044973
48479,-0.239486748923122
27911,-0.238136088194495
2311,-0.241512740016062
5979,-0.229940862962693
57277,-0.225688106884719
63790,-0.249507191355771
39754,-0.24034460100752
7550,-0.241859531284223
14163,-0.233007227860116
13326,-0.232751697451997
56452,-0.231346280207345
21623,-0.22627217638899
49148,-0.226363437249033
35782,-0.23092648025115
31680,-0.226545958969118
61063,-0.243356209388917
44207,-0.239012192450902
62803,-0.234284879900708
15461,-0.245418704825874
29167,-0.232368401839819
17971,-0.22890048915821
39263,-0.245765496094035
31056,-0.244980652697671
16441,-0.229448054318464
50872,-0.243027670292765
25737,-0.235781558005403
48102,-0.236402131853691
40101,-0.246714609038476
13302,-0.244305322333358
3956,-0.240727896619698
49269,-0.242334087756443
65310,-0.226691976345185
10298,-0.21661677739651
39103,-0.219153829305687
62589,-0.217109586040739
26511,-0.200226326932905
63747,-0.212236256114478
51184,-0.222493976783237
29345,-0.204588596042929
44448,-0.206213039351683
31646,-0.203675987442506
34371,-0.201449222457473
24463,-0.219372855369789
38328,-0.216196977440315
60632,-0.211396656202088
35202,-0.201686500693583
6090,-0.219829159670001
5830,-0.202453091917938
31822,-0.220595750894356
22880,-0.219993429218077
23486,-0.203183178798277
52662,-0.212674308242681
49163,-0.204351317806819
35924,-0.206614587135869
34933,-0.214006716799299
40051,-0.223242315835584
35834,-0.201430970285464
14266,-0.218441994597357
51461,-0.22484850697233
52459,-0.216288238300358
29851,-0.224264437468059
46231,-0.214317003723443
42942,-0.221106811710594
11196,-0.215722420968095
53535,-0.211889464846317
40304,-0.217164342556764
12715,-0.209388917281156
12683,-0.211122873621961
12204,-0.221490107322772
20448,-0.204716361246988
20926,-0.220705263926407
15293,-0.220029933562094
10784,-0.219993429218077
28042,-0.216927064320654
48775,-0.202361831057896
4164,-0.210739578009783
32217,-0.211086369277944
51654,-0.2118529605023
39577,-0.210045995473461
48012,-0.212400525662554
1288,-0.206468569759801
10117,-0.201449222457473
3676,-0.189950354092137
795,-0.175786668613565
33220,-0.189786084544061
43480,-0.17525735562532
5447,-0.192852449441484
17357,-0.183908885157334
49809,-0.187230780462875
5925,-0.183343067825071
1159,-0.179291085639191
23952,-0.197890048915821
