"LabID","Pol","Brix","Ash","Fibre"
42396,82.597,21.801,NA,NA
42397,60.917,16.527,NA,NA
42398,90.816,23.389,NA,NA
42399,82.814,21.557,NA,NA
42400,96.282,24.772,NA,NA
42401,93.92,24.085,NA,NA
42402,71.102,19.345,NA,NA
42403,82.49,21.34,NA,NA
42404,67.422,18.425,NA,NA
42405,90.509,23.222,NA,NA
42406,65.343,18.03,NA,NA
42407,70.837,19.085,NA,NA
42408,73.147,20.137,NA,NA
42409,66.045,17.938,NA,NA
42410,81.233,21.061,NA,NA
42411,83.894,21.436,NA,NA
42412,56.405,16.545,NA,NA
42413,80.468,20.916,NA,NA
42414,68.464,18.392,NA,NA
42415,89.911,23.57,NA,NA
42416,89.517,23.145,NA,NA
42417,72.913,19.497,NA,NA
42418,77.389,20.388,NA,NA
42419,81.059,21.041,NA,NA
42420,85.894,22.407,NA,NA
42421,78.169,20.492,NA,NA
42422,63.821,17.293,NA,NA
42423,75.369,20.279,NA,NA
42424,87.742,22.435,NA,NA
42425,72.755,19.721,NA,NA
42426,90.187,23.514,NA,NA
42427,90.052,23.304,NA,NA
42428,93.411,23.986,NA,NA
42429,85.589,22.484,NA,NA
42430,81.293,21.281,NA,NA
42431,86.455,23.099,NA,NA
42432,95.126,24.718,NA,NA
42433,81.656,21.608,NA,NA
42434,76.458,20.088,NA,NA
42435,68.035,18.586,NA,NA
42436,77.431,20.344,NA,NA
42437,77.181,20.116,NA,NA
42438,83.756,21.961,NA,NA
42439,74.736,19.261,NA,NA
42440,73.749,19.884,NA,NA
42441,88.904,23.068,NA,NA
42442,74.522,19.367,NA,NA
42443,70.588,18.973,NA,NA
42444,72.098,19.746,NA,NA
42445,96.892,24.441,NA,NA
42446,87.447,22.352,NA,NA
42447,74.691,20.265,NA,NA
42448,83.871,21.544,NA,NA
42449,80.052,20.739,NA,NA
42450,70.998,19.151,NA,NA
42451,64.702,17.422,NA,NA
42452,73.747,19.585,NA,NA
42453,74.706,20.028,NA,NA
42454,73.169,19.507,NA,NA
42455,80.792,21.406,NA,NA
42456,67.347,17.902,NA,NA
42457,75.177,20.163,NA,NA
42458,79.617,20.83,NA,NA
42459,57.661,16.89,NA,NA
42460,72.461,19.421,NA,NA
42461,81.078,21.752,NA,NA
42462,66.596,17.594,NA,NA
42463,97.473,24.537,NA,NA
42464,73.067,19.562,NA,NA
42465,94.038,23.982,NA,NA
42466,57.509,16.278,NA,NA
42467,79.305,20.848,NA,NA
42468,91.915,23.696,NA,NA
42469,73.984,19.204,NA,NA
42470,91.895,23.283,NA,NA
42471,90.402,23.069,NA,NA
42472,80.766,21.217,NA,NA
42473,83.117,21.404,NA,NA
42474,82.808,21.275,NA,NA
42475,90.218,23.346,NA,NA
42476,75.146,19.657,NA,NA
42477,88.547,23.096,NA,NA
42478,92.264,23.624,NA,NA
42479,96.534,24.522,NA,NA
42480,74.369,19.409,NA,NA
42481,86.349,22.981,NA,NA
42482,80.5,21.876,NA,NA
42483,91.774,23.217,NA,NA
42484,88.748,23.071,NA,NA
42485,78.803,21.696,NA,NA
42486,84.13,22.379,NA,NA
42487,90.054,23.317,NA,NA
42488,67.398,18.462,NA,NA
42490,100.37,25.534,NA,NA
42491,80.63,20.937,NA,NA
42492,71.67,19.68,NA,NA
42493,72.415,19.593,NA,NA
42494,67.285,18.381,NA,NA
42495,75.22,19.959,NA,NA
42496,84.286,22.102,NA,NA
42497,71.978,18.916,NA,NA
42498,90.057,23.088,NA,NA
42499,91.27,23.264,NA,NA
42500,82.448,21.945,NA,NA
42502,90.349,23.028,NA,NA
42503,72.07,19.397,NA,NA
42504,65.86,18.747,NA,NA
42505,80.928,21.448,NA,NA
42506,76.821,19.909,NA,NA
42507,77.452,20.518,NA,NA
42508,86.401,22.691,NA,NA
42509,80.441,21.6,NA,NA
42510,72.13,20.369,NA,NA
42511,87.648,22.571,NA,NA
42512,72.204,18.923,NA,NA
42513,87.013,22.051,NA,NA
42514,94.258,23.993,NA,NA
42515,79.358,20.572,NA,NA
42516,77.499,20.269,NA,NA
42517,66.206,18.162,NA,NA
42518,84.701,21.935,NA,NA
42519,74.562,20.143,NA,NA
42520,82.004,21.422,NA,NA
42521,78.939,20.226,NA,NA
42522,67.578,18.319,NA,NA
42523,92.145,23.322,NA,NA
42524,93.258,24.354,NA,NA
42525,75.867,20.098,NA,NA
42526,74.127,19.098,NA,NA
42527,83.699,21.896,NA,NA
42528,86.683,22.717,NA,NA
42529,95.67,24.789,NA,NA
42530,60.986,17.156,NA,NA
42531,81.339,20.725,NA,NA
42532,88.106,22.725,NA,NA
42533,62.65,17.757,NA,NA
42534,66.296,18.155,NA,NA
42535,94.213,24.071,NA,NA
42536,58.117,16.368,NA,NA
42537,70.284,18.923,NA,NA
42538,88.6,22.822,NA,NA
42539,85.785,22.453,NA,NA
42540,80.852,21.478,NA,NA
42541,62.509,17.027,NA,NA
42542,83.876,22.108,NA,NA
42543,82.096,21.441,NA,NA
42544,90.278,22.91,NA,NA
42545,66.269,18.181,NA,NA
42546,84.725,22.269,NA,NA
42547,82.196,21.346,NA,NA
42548,82.531,22.528,NA,NA
42549,67.463,18.76,NA,NA
42550,84.143,22.147,NA,NA
42551,84.287,22.085,NA,NA
42552,66.422,17.844,NA,NA
42553,76.943,21.085,NA,NA
42554,91.274,23.348,NA,NA
42555,69.004,18.768,NA,NA
42556,81.145,21.525,NA,NA
42557,70.915,19.46,NA,NA
42558,74.34,19.595,NA,NA
42559,78.384,20.474,NA,NA
42560,83.534,22.304,NA,NA
42561,83.469,21.62,NA,NA
42562,79.947,21.1,NA,NA
42563,85.836,22.327,NA,NA
42564,63.371,17.573,NA,NA
42565,96.032,24.462,NA,NA
42566,90.959,23.597,NA,NA
42567,78.413,20.286,NA,NA
42568,75.619,20.2,NA,NA
42569,72.426,19.314,NA,NA
42570,70.204,18.459,NA,NA
42571,68.615,18.975,NA,NA
42572,70.222,19.006,NA,NA
42573,72.648,19.67,NA,15.0960954508171
42574,91.313,23.465,NA,NA
42575,88.745,23.352,NA,NA
42576,72.534,19.37,NA,NA
42577,86.29,22.818,NA,NA
42578,76.109,20.507,NA,NA
42580,72.741,20.279,NA,NA
42581,59.01,17.052,NA,NA
42582,60.296,17.676,NA,NA
42583,90.197,22.891,NA,NA
42584,89.377,23.517,NA,NA
42585,78.027,20.396,NA,NA
42586,76.121,20.396,NA,NA
42587,70.576,18.515,NA,NA
42588,72.63,19.421,NA,NA
42589,86.089,22.559,NA,NA
42590,95.685,24.441,NA,NA
42591,83.278,21.744,NA,NA
42592,76.829,20.386,NA,NA
42593,83.563,21.726,NA,NA
42595,81.804,21.314,NA,NA
42597,77.547,20.835,NA,NA
42598,76.182,20.019,NA,NA
42599,67.373,18.99,NA,NA
42600,67.801,18.297,NA,NA
42601,71.964,19.673,NA,NA
42602,92.313,23.338,NA,NA
42603,88.545,23.203,NA,NA
42604,90.337,23.329,NA,NA
42605,71.918,19.555,NA,NA
42606,68.962,18.61,NA,NA
42607,75.287,20.34,NA,NA
42608,85.984,22.319,NA,NA
42609,77.589,21.496,NA,NA
42610,70.394,19.979,NA,NA
42611,85.374,22.266,NA,NA
42612,73.544,19.223,NA,NA
42613,69.943,18.367,NA,NA
42614,91.698,23.882,NA,NA
42615,91.344,23.451,NA,NA
42616,83.939,21.945,NA,NA
42617,92.171,23.057,NA,NA
42618,59.877,16.827,NA,NA
42619,78.304,20.996,NA,NA
42620,59.262,16.612,NA,NA
42621,87.229,23.242,NA,NA
42622,92.465,23.678,NA,NA
42623,74.315,19.843,NA,NA
42624,79.485,21.172,NA,NA
42625,74.002,20.834,NA,NA
42626,70.34,18.73,NA,NA
42627,73.911,19.28,NA,NA
42628,83.96,22.761,NA,NA
42629,74.477,20.088,NA,NA
42630,86.291,22.135,NA,NA
42631,71.169,19.333,NA,NA
42632,79.419,21.14,NA,NA
42633,90.621,23.983,NA,NA
42634,86.152,22.967,NA,NA
42635,80.154,20.947,NA,NA
42636,81.772,21.678,NA,NA
42637,86.739,23.094,NA,NA
42638,83.91,21.932,NA,NA
42639,81.568,21.497,NA,NA
42640,98.668,25.395,NA,NA
42641,84.759,21.917,NA,NA
42642,88.704,23.498,NA,NA
42643,73.565,19.765,NA,NA
42644,66.331,18.805,NA,NA
42645,71.848,18.956,NA,NA
42646,77.863,20.192,NA,NA
42647,84.303,22.154,NA,NA
42648,80.682,20.713,NA,NA
42649,64.031,17.397,NA,NA
42650,94.848,24.033,NA,NA
42651,63.303,18.524,NA,NA
42652,87.623,22.401,NA,NA
42653,88.013,22.842,NA,NA
42654,91.95,24.019,NA,NA
42655,80.18,21.323,NA,NA
42656,66.154,18.807,NA,NA
42657,80.997,21.788,NA,NA
42658,87.936,23.136,NA,NA
42659,67.777,18.71,NA,NA
42660,95.16,24.224,NA,NA
42661,88.672,22.541,NA,NA
42662,70.718,19.555,NA,NA
42663,79.819,21.434,NA,NA
42664,69.566,18.879,NA,15.9559007204594
42665,64.557,17.822,NA,NA
42666,72.518,19.439,NA,NA
42667,73.398,19.583,NA,NA
42668,85.486,22.369,NA,NA
42669,93.576,23.974,NA,NA
42670,88.353,23.803,NA,NA
42671,77.425,20.442,NA,NA
42672,85.377,21.802,NA,NA
42673,88.731,22.632,NA,NA
42674,90.553,23.218,NA,NA
42675,65.854,19.164,NA,NA
42676,85.604,22.616,NA,NA
42677,101.56,25.755,NA,NA
42679,61.187,17.121,NA,NA
42680,70.373,19.69,NA,NA
42681,78.919,19.933,NA,NA
42682,94.696,23.963,NA,NA
42683,75.386,20.02,NA,NA
42684,75.606,20.211,NA,NA
42685,71.729,19.081,NA,NA
42686,95.327,24.074,NA,NA
42687,78.289,20.549,NA,NA
42688,72.11,19.267,NA,NA
42689,90.888,24.195,NA,NA
42690,88.238,22.549,NA,NA
42691,69.017,19.169,NA,NA
42692,76.384,20.859,NA,NA
42693,82.48,21.688,NA,NA
42694,87.38,22.794,NA,NA
42695,84.79,22.02,NA,NA
42696,82.741,20.817,NA,NA
42697,72.227,19.068,NA,NA
42698,87.841,22.222,NA,NA
42699,61.463,17.865,NA,NA
42700,79.517,20.834,NA,NA
42701,81.857,21.223,NA,NA
42702,77.49,20.739,NA,NA
42703,78.169,20.233,NA,NA
42704,74.561,19.743,NA,NA
42705,75.006,20.08,NA,NA
42706,81.046,22.059,NA,NA
42707,84.736,21.655,NA,NA
42708,77.605,20.703,NA,NA
42709,91.356,23.433,NA,NA
42710,68.498,18.772,NA,NA
42711,72.914,19.61,NA,NA
42712,95.486,24.54,NA,NA
42713,90.489,22.996,NA,NA
42715,78.484,20.174,NA,NA
42716,75.37,19.738,NA,NA
42717,86.863,22.664,NA,NA
42718,71.24,19.128,NA,NA
42719,91.089,23.306,NA,NA
42720,79.557,21.588,NA,NA
42721,65.647,17.94,NA,NA
42722,81.49,20.771,NA,NA
42723,72.364,19.41,NA,NA
42724,76.843,19.943,NA,NA
42725,82.248,21.973,NA,NA
42726,61.283,17.108,NA,NA
42727,92.164,23.606,NA,NA
42728,72.339,19.431,NA,NA
42729,84.692,21.806,NA,NA
42730,88.3,22.866,NA,NA
42732,69.721,19.568,NA,NA
42733,73.064,19.581,NA,NA
42734,82.849,22.291,NA,NA
