ScanID, DateTime, NIR_Pol, NIR_Brix, NIR_Fibre, NIR_Ash, GH, NH
15796.13,2023-02-21 18:27:53,82.8568,21.8067,14.8975,1.6754,0.16631,0.067432
15797.01,2023-02-21 18:29:47,79.2634,20.5994,13.3769,1.7304,0.25541,0.23883
15797.02,2023-02-21 18:30:25,80.5007,21.0602,13.4364,1.5002,0.87769,0.20916
15797.03,2023-02-21 18:31:02,79.6618,20.9593,13.4215,1.4912,0.27086,0.069794
15797.04,2023-02-21 18:31:40,79.3777,20.6731,13.3287,1.1864,0.40115,0.004898
15797.05,2023-02-21 18:32:17,78.0681,20.7228,13.1772,1.3388,0.47731,0.11874
15797.06,2023-02-21 18:32:56,77.5377,20.3205,14.485,1.7164,0.18138,0.12953
15797.07,2023-02-21 18:33:32,78.3578,20.6848,14.2693,1.9314,0.77784,0.092955
15797.08,2023-02-21 18:34:11,79.4399,20.668,13.4725,1.3189,0.038325,0.17637
15797.09,2023-02-21 18:34:48,82.0504,21.6789,13.8091,1.9299,1.6875,0.25134
15797.10,2023-02-21 19:14:10,79.108,20.8158,13.8983,2.119,0.46071,0.29172
15797.11,2023-02-21 19:14:48,77.9224,20.7678,14.3152,1.8709,0.72104,0.23062
15798.01,2023-02-21 19:16:49,79.3831,20.8883,13.8122,1.7429,0.89256,0.25258
15798.02,2023-02-21 19:18:31,80.5847,21.3472,13.0997,1.7359,-0.016547,0.28383
15798.03,2023-02-21 19:19:07,76.9434,20.6284,13.8383,1.7197,0.16408,0.28631
15798.04,2023-02-21 19:19:45,79.1127,20.8654,12.8012,1.4811,0.56201,0.22074
15798.05,2023-02-21 19:20:21,80.0684,20.744,13.4017,1.4801,0.48719,0.13003
15798.06,2023-02-21 19:20:59,79.4732,20.9295,13.6879,1.7846,0.59538,0.26498
15798.07,2023-02-21 19:21:36,78.7405,20.8612,14.297,1.9006,0.40965,0.26551
15798.08,2023-02-21 19:22:13,77.6173,20.362,13.9516,1.4413,0.71632,0.071335
15798.09,2023-02-21 19:22:50,77.1501,20.3426,13.3843,1.4773,0.78998,0.0033015
15798.10,2023-02-21 19:23:28,79.8625,20.7308,13.13,1.4446,0.39585,0.27734
15798.11,2023-02-21 19:24:05,80.5095,21.2904,13.1117,1.4845,0.3981,0.23229
15798.12,2023-02-21 19:24:42,79.5143,21.0782,13.8739,1.5108,0.42628,0.098538
15798.13,2023-02-21 19:25:20,79.6762,21.1001,13.5803,1.3616,0.24536,0.30815
15798.14,2023-02-21 19:25:57,80.0103,20.889,13.747,1.77,-0.039034,0.26105
15798.15,2023-02-21 19:26:36,80.3301,21.6195,13.5918,1.0821,0.70897,0.24443
15798.16,2023-02-21 19:27:13,79.4382,21.2311,13.3116,1.6571,0.71382,0.10737
15798.17,2023-02-21 19:27:50,83.1362,21.6395,12.8938,1.4375,0.6176,0.1077
15799.01,2023-02-21 19:29:51,94.5706,25.0091,15.7581,1.8061,0.75845,0.32025
15799.02,2023-02-21 19:30:24,74.678,20.2365,13.5719,1.9593,0.8635,0.21149
15799.03,2023-02-21 19:31:01,78.141,20.6721,13.3379,1.5716,0.87608,0.054784
15799.04,2023-02-21 19:31:37,78.5457,20.861,13.7618,1.6796,0.5289,0.2853
15799.05,2023-02-21 19:32:15,80.3233,21.4637,14.5315,1.6221,0.41937,0.073821
15800.01,2023-02-21 19:34:20,76.3143,20.1329,14.4362,2.2625,0.14608,0.22161
15800.02,2023-02-21 19:34:57,78.005,20.7832,14.0315,1.8661,0.33445,0.28501
15800.03,2023-02-21 19:35:34,79.6161,21.3595,14.507,1.689,0.29735,0.0072052
15801.02,2023-02-21 19:37:45,84.2667,21.8655,14.6942,1.578,0.54923,0.081817
15801.03,2023-02-21 19:38:22,84.6607,22.1119,14.4797,1.1979,0.61631,0.0039312
15801.04,2023-02-21 19:38:59,84.3774,21.6571,14.3818,1.5137,0.16963,0.25688
15801.05,2023-02-21 19:39:37,82.9866,21.7074,15.6858,1.996,0.52685,0.16381
15801.06,2023-02-21 19:40:14,84.8016,21.7663,14.3379,1.3268,0.68871,0.058482
15801.07,2023-02-21 19:40:52,84.6738,21.9483,14.756,1.4322,0.25184,0.080518
15801.08,2023-02-21 19:41:28,85.5269,22.2789,14.2576,1.6188,0.29703,0.23619
15801.09,2023-02-21 19:42:05,82.8955,21.5975,14.8229,1.7324,0.33073,0.21627
15801.10,2023-02-21 19:42:42,85.0748,22.1774,14.0564,1.9457,0.0073212,0.052969
15801.11,2023-02-21 19:43:19,84.5732,21.7634,15.5082,2.0019,0.64831,0.10323
15801.12,2023-02-21 19:43:56,82.134,21.7213,15.1501,1.7569,0.47755,0.17675
15801.13,2023-02-21 19:44:34,82.9364,21.9069,14.8303,1.8529,0.60889,0.14552
15801.14,2023-02-21 19:45:11,85.156,22.1841,15.0523,1.888,0.49989,0.096405
15801.15,2023-02-21 19:45:48,86.2099,22.6027,14.746,1.8756,0.71365,0.32589
15802.01,2023-02-21 19:47:41,75.5932,20.4941,14.8998,2.2282,0.57304,0.26197
15802.02,2023-02-21 19:48:18,80.2196,21.2701,15.2598,2.297,0.50023,0.22159
15802.03,2023-02-21 19:48:55,81.3445,21.0872,14.3085,1.9771,0.13597,0.12133
15802.04,2023-02-21 19:49:32,79.5314,21.0582,15.024,2.4041,0.41548,0.17756
15802.05,2023-02-21 19:50:08,78.5666,20.917,14.9538,2.369,1.606,0.10992
15802.06,2023-02-21 19:50:46,81.2713,21.316,15.0043,2.5086,0.48775,0.29161
