LabID,Pol,Brix
324,78.121,21.396
325,70.115,19.039
326,71.889,20.067
327,84.31,22.144
328,80.076,21.064
329,75.267,19.889
330,91.86,23.587
331,81.879,21.809
332,79.524,21.018
333,78.325,20.351
334,89.548,23.595
335,65.806,17.775
336,91.967,23.433
337,79.214,21.152
338,84.107,22.038
339,62.771,17.078
340,82.518,21.775
341,66.279,18.608
342,88.925,22.826
343,74.097,19.517
344,77.03,20.175
345,81.597,22.188
346,87.862,22.393
347,88.71,23.327
348,94.189,23.868
349,65.075,17.613
350,92.148,23.777
351,79.98,21.32
352,75.714,19.746
353,86.648,22.764
354,75.177,20.168
355,95.8,24.272
356,82.131,21.549
357,81.634,21.559
358,86.109,22.529
359,90.557,23.962
360,90.003,22.871
361,91.423,24.325
362,76.596,21.137
363,87.238,22.776
364,59.046,17.278
365,58.76,15.917
366,81.721,20.963
367,69.841,19.47
368,85.632,22.202
369,84.837,22.687
370,82.262,21.038
371,88.775,22.619
372,73.003,19.254
373,79.963,21.89
374,86.407,22.707
375,83.671,22.223
376,92.627,23.492
377,76.956,20.096
378,78.763,21.115
379,58.715,16.871
380,64.625,17.99
381,81.161,21.641
382,99.984,25.447
383,87.792,22.314
384,97.435,24.618
385,71.697,19.094
386,98.36,25.142
387,85.464,22.49
388,90.174,22.776
389,78.444,20.609
390,77.646,20.244
391,74.552,19.713
392,66.645,18.537
393,73.257,20.752
394,84.078,22.006
395,77.757,19.837
396,77.798,20.352
397,74.665,20.279
398,82.537,22.029
399,74.361,19.764
400,94.599,24.207
401,89.756,22.827
402,71.016,19.069
403,87.752,22.713
404,88.153,22.589
405,85.814,22.307
406,84.727,21.917
407,82.763,22.536
408,77.079,20.443
409,77.671,20.43
410,76.538,19.853
411,77.817,20.573
412,84.003,22.06
413,73.913,19.641
414,80.377,21.773
415,78.22,21.329
416,88.79,22.598
417,73.561,19.641
418,92.598,23.696
419,89.886,22.931
420,96.514,24.653
421,66.825,18.222
422,64.89,18.146
423,64.371,17.15
424,87.975,22.97
425,80.52,22.247
426,90.791,23.562
427,63.73,18.553
428,86.029,22.495
429,86.432,23.055
430,70.653,18.458
431,74.957,20.675
432,73.881,19.366
433,72.502,19.066
434,85.402,21.932
435,85.822,22.258
436,90.643,24.392
437,65.587,18.226
438,73.105,19.211
439,73.37,19.9
440,79.473,21.08
441,87.072,22.53
442,68.874,19.94
443,95.234,24.398
444,74.751,19.47
445,75.02,19.854
446,84.056,21.875
447,80.741,21.356
448,65.056,18.108
449,75.815,20.178
450,92.654,24.785
451,76.336,19.973
452,75.099,19.632
453,78.723,20.438
454,78.499,20.165
455,73.974,19.927
456,70.422,18.994
457,64.984,17.631
458,75.854,20.176
459,69.231,19.411
460,87.398,22.785
461,65.62,18.19
462,84.166,23.189
463,83.587,21.707
464,69.765,19.199
465,90.347,23.374
466,94.117,24.528
467,91.729,23.684
468,86.462,22.28
469,88.696,22.62
470,81.74,21.129
471,66.308,18.152
472,63.488,17.321
473,77.654,20.401
474,81.833,21.072
475,88.617,22.738
476,67.781,18.189
477,63.631,18.048
478,72.866,19.515
479,73.285,20.04
480,75.849,20.706
481,79.913,20.768
482,80.626,22.949
483,83.814,21.443
484,79.93,20.997
485,70.85,20.054
486,82.58,21.497
487,93.028,24.313
488,90.757,23.143
489,92.754,23.675
490,69.689,18.833
491,76.141,21.217
492,69.469,19.126
493,74.265,20.174
494,75.81,20.223
